event,date
Public spaces survey,2024-01-21 10:00:00
Emergency alert system test,2024-02-14 11:30:00
Public land planning,2024-03-30 14:00:00
Revised pension budget,2024-04-25 09:30:00
Local elections,2024-05-17 08:00:00
Congressional hearing,2024-06-28 15:00:00
New police department opens,2024-07-06 13:00:00
Finance minister retirement,2024-08-09 12:00:00
Transportation survey,2024-09-05 16:00:00
Disaster relief fundraiser,2024-10-12 18:30:00
Tax code updated,2024-11-03 10:30:00
Town hall meeting,2024-12-08 17:00:00
