event,date
New research lab opens,2024-11-12 08:00:00
Art installation,2023-12-18 08:00:00
Old building demolished,2024-10-20 08:00:00
New memorial installation,2024-02-20 08:00:00
Free food bar installation,2023-07-15 08:00:00
Classroom upgrades,2024-09-10 08:00:00
New whiteboards installed,2024-05-07 08:00:00
New elevators installed,2023-11-22 08:00:00
Library renovation,2024-03-26 08:00:00
New dining location opens,2024-01-08 08:00:00
Lighting system fixed,2023-10-05 08:00:00
Dorm renovation,2024-06-03 08:00:00
