event,date
Beach cleanup,2024-10-15 14:21:36
Volunteering at senior center,2024-11-07 09:45:12
Food drive,2024-11-05 11:23:48
Community area planting,2024-10-22 13:17:54
Animal shelter fundraiser,2024-11-10 15:42:31
Charity marathon,2024-10-28 10:35:29
Animal cruelty workshop,2024-11-15 08:56:43
School supplies donation,2024-10-31 16:25:19
Blood drive,2024-11-03 12:40:57
Affordable housing fundraiser,2024-10-18 07:58:46
Green energy campaign,2024-11-01 14:12:38
Free home renovation project,2024-10-25 09:33:21
Clothing drive,2024-11-08 17:09:14
